Country,Region,Income Group,Population (millions),Total Ecological Footprint (Consumption),Total biocapacity,Ecological Deficit or Reserve,Number of Earths required,"2024
 Country Overshoot Day "
Algeria,Africa,UM,45.4,2.2,0.7,-1.6,1.5,"September 4, 2024"
Angola,Africa,LM,35,0.9,1.6,0.7,0.6,
Benin,Africa,LI,12.8,1.1,0.6,-0.5,0.7,
Botswana,Africa,UM,2.4,2.2,2.9,0.7,1.5,"September 5, 2024"
Burkina Faso,Africa,LI,22.1,0.9,0.7,-0.2,0.6,
Burundi,Africa,LI,12.6,0.6,0.4,-0.2,0.4,
Cabo Verde,Africa,LM,0.6,1.2,0.4,-0.7,0.8,
Cameroon,Africa,LM,27.9,1,1.4,0.4,0.7,
Central African Republic,Africa,LI,5,1.1,6.4,5.3,0.7,
Chad,Africa,LI,17.4,1.4,1.4,0.1,0.9,
Comoros,Africa,LI,0.9,2,0.3,-1.7,1.3,"October 4, 2024"
Congo,Africa,LM,5.8,1.1,7.8,6.7,0.7,
"Congo, Democratic Republic of",Africa,LI,95.2,0.7,1.8,1.2,0.5,
Côte d'Ivoire,Africa,LM,27.7,0.9,1.1,0.2,0.6,
Djibouti,Africa,LM,1,2.5,0.6,-1.8,1.6,"August 12, 2024"
Egypt,Africa,LM,106.2,1.5,0.3,-1.1,1,
Equatorial Guinea,Africa,HI,1.5,1.8,2.7,0.8,1.2,"October 28, 2024"
Eritrea,Africa,LI,3.7,0.7,1.9,1.2,0.5,
Eswatini,Africa,LM,1.2,2.9,1.4,-1.5,1.9,"July 9, 2024"
Ethiopia,Africa,LI,120.8,0.8,0.4,-0.4,0.6,
Gabon,Africa,UM,2.3,2.1,16.9,14.9,1.4,"September 24, 2024"
Gambia,Africa,LI,2.6,0.9,0.5,-0.4,0.6,
Ghana,Africa,LM,32.4,1.8,0.9,-0.8,1.2,"November 10, 2024"
Guinea,Africa,LI,13.9,1.5,1.7,0.2,1,"December 27, 2024"
Guinea-Bissau,Africa,LI,2.1,1.2,2.2,1,0.8,
Kenya,Africa,LI,56.2,0.9,0.5,-0.4,0.6,
